"class","order","family","genus","countryCode","stateProvince","eventDate","year","id","boundary_data_source","boundary_id","boundary_use","city_name","city_name_viz","country_iso3","country_iso2","lat","long"
"Arachnida","Araneae","Araneidae","Macracantha","ID","Kalimantan Timur",2015-03-25 22:56:00,2015,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.838034,-1.130244
"Magnoliopsida","Solanales","Convolvulaceae","Decalobanthus","ID","Kalimantan Timur",2019-08-02 08:38:07,2019,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.861403,-1.229335
"Magnoliopsida","Fabales","Fabaceae","Mimosa","ID","Kalimantan Timur",2019-08-02 08:34:16,2019,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.861415,-1.229445
"Reptilia","Squamata","Colubridae","Gonyosoma","ID","Kalimantan Timur",2017-04-07 07:29:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.82724,-1.13328
"Reptilia","Squamata","Scincidae","Eutropis","ID","Kalimantan Timur",2017-04-23 00:00:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.835288,-1.150754
"Aves","Passeriformes","Tephrodornithidae","Philentoma","ID","Kalimantan Timur",2015-03-25 14:50:00,2015,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.84067,-1.137909
"Insecta","Lepidoptera","Papilionidae","Papilio","ID","Kalimantan Timur",2019-08-31 06:12:08,2019,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.861939,-1.251959
"Reptilia","Squamata","Gekkonidae","Hemidactylus","ID","Kalimantan Timur",2021-11-28 19:21:00,2021,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.860789,-1.249421
"Reptilia","Squamata","Gekkonidae","Hemidactylus","ID","Kalimantan Timur",2017-04-23 00:00:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.835288,-1.150754
"Insecta","Hemiptera","Fulgoridae","Pyrops","ID","Kalimantan Timur",2017-09-25 06:59:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.82851,-1.12197
"Amphibia","Anura","Rhacophoridae","Polypedates","ID","Kalimantan Timur",2017-04-24 20:29:04,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.839693,-1.15364
"Reptilia","Squamata","Gekkonidae","Gehyra","ID","Kalimantan Timur",2015-03-25 14:21:00,2015,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.84063,-1.1401
"Reptilia","Squamata","Colubridae","Rhabdophis","ID","Kalimantan Timur",2017-04-22 00:00:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.835288,-1.150754
"Reptilia","Squamata","Pseudaspididae","Psammodynastes","ID","Kalimantan Timur",2017-03-23 09:24:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.849384,-1.124873
"Mammalia","Chiroptera","Emballonuridae","Emballonura","ID","Kalimantan Timur",2017-09-25 13:28:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.83126,-1.130765
"Magnoliopsida","Malvales","Muntingiaceae","Muntingia","ID","Kalimantan Timur",2019-08-02 00:39:22,2019,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.861628,-1.229506
"Aves","Columbiformes","Columbidae","Columba","ID","Kalimantan Timur",2021-08-04 00:00:00,2021,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.873924,-1.255515
"Amphibia","Anura","Bufonidae","Duttaphrynus","ID","Kalimantan Timur",2019-10-18 06:33:52,2019,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.861917,-1.252058
"Amphibia","Anura","Bufonidae","Ingerophrynus","ID","Kalimantan Timur",2017-04-22 00:00:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.835288,-1.150754
"Marchantiopsida","Marchantiales","Ricciaceae","Ricciocarpos","ID","Kalimantan Timur",2020-08-03 09:55:17,2020,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.876196,-1.255743
"Insecta","Hymenoptera","Formicidae","Anoplolepis","ID","Kalimantan Timur",2021-08-04 07:52:50,2021,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.873936,-1.255508
"Mammalia","Chiroptera","Rhinolophidae","Rhinolophus","ID","Kalimantan Timur",2017-09-24 07:20:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.827653,-1.122287
"Insecta","Hymenoptera","Formicidae","Anoplolepis","ID","Kalimantan Timur",2019-08-02 08:40:02,2019,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.861713,-1.229634
"Reptilia","Squamata","Scincidae","Eutropis","ID","Kalimantan Timur",2015-03-25 14:21:00,2015,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.84063,-1.1401
"Aves","Passeriformes","Eurylaimidae","Cymbirhynchus","ID","Kalimantan Timur",2015-03-27 16:55:00,2015,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.842043,-1.13379
"Aves","Piciformes","Picidae","Reinwardtipicus","ID","Kalimantan Timur",2015-07-25 13:47:00,2015,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.837671,-1.135795
"Amphibia","Anura","Microhylidae","Microhyla","ID","Kalimantan Timur",2017-04-22 00:00:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.835288,-1.150754
"Amphibia","Anura","Dicroglossidae","Fejervarya","ID","Kalimantan Timur",2017-04-23 00:00:00,2017,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.835288,-1.150754
"Magnoliopsida","Sapindales","Meliaceae","Xylocarpus","ID","Kalimantan Timur",2021-06-11 08:52:00,2021,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.768333,-1.0975
"Aves","Passeriformes","Pycnonotidae","Tricholestes","ID","Kalimantan Timur",2015-03-26 16:55:00,2015,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.842043,-1.13379
"Insecta","Lepidoptera","Nymphalidae","Hypolimnas","ID","Kalimantan Timur",2020-11-08 00:00:00,2020,"21","cities360","1fc1eba8986a496a9bfc43ab6f78075b","TRUE","IDN-Balikpapan","Balikpapan","IDN","ID",116.870093,-1.240049
